ID,Title,Product/Workload,Status,Release phase,Targeted dates,Cloud instance,Short description,Official Roadmap link
MC1084029,(Updated) Microsoft Viva Insights: New Viva Learning Culture report,Microsoft Viva,,,2025-05-27T23:13:53Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://learn.microsoft.com/viva/insights/advanced/setup-maint/environment-requirements
MC1084030,Allow recording and transcription by default in Teams Calling global policy,Microsoft Teams,,,2025-05-27T23:14:23Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Admin impact",https://learn.microsoft.com/microsoftteams/call-recording-transcription-captions
MC1084032,Microsoft Teams: Users can add multiple emoji reactions to each chat or channel message,Microsoft Teams,,,2025-05-27T23:14:51Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, User impact",https://www.microsoft.com/microsoft-365/roadmap?searchterms=491468
MC1084035,(Updated) Microsoft Teams: Pop out your core apps into a new window.,Microsoft Teams,,,2025-05-27T23:16:28Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=495003
MC1084635,(Updated) Event Updates visible in email,Exchange Online,,,2025-05-28T22:44:27Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=491018
MC1084637,Product transitions to the cloud.microsoft domain – May 2025,"Microsoft 365 suite, Microsoft 365 for the web",,,2025-05-28T22:46:08Z,Worldwide (Standard Multi-Tenant),"stayInformed; User impact, Admin impact",https://techcommunity.microsoft.com/t5/microsoft-365-blog/introducing-cloud-microsoft-a-unified-domain-for-microsoft-365/ba-p/3804961
MC1084638,"(Updated) Microsoft Teams: When selecting ""Unread Chats,"" users will land on the last read message",Microsoft Teams,,,2025-05-28T22:46:36Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",
MC1084639,Microsoft Viva Insights: Skills insights for leaders,Microsoft Viva,,,2025-05-28T22:47:29Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://learn.microsoft.com/viva/insights/advanced/setup-maint/environment-requirements
MC1084640,Microsoft Outlook for iOS/Android: New formatting options for composing emails,"Exchange Online, Microsoft 365 apps",,,2025-05-28T22:47:58Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=411581
MC1084685,The May 2025 Windows non-security preview update is now available,Windows,,,2025-05-29T01:20:22.037Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://support.microsoft.com/help/5058499
MC1085132,(Updated) Microsoft Outlook for Android: Users can apply categories to emails,"Exchange Online, Microsoft 365 apps",,,2025-05-29T23:13:29Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=493945
MC1085133,(Updated) Microsoft Teams: Rule-based enablement of Microsoft 365 third-party apps in the Teams admin center,Microsoft Teams,,,2025-05-29T23:14:18Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=485712
MC1085489,Take action: Disable Secure Time Seeding (STS) in Windows Server 2016 and later,Windows,,,2025-05-30T16:59:18.317Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://learn.microsoft.com/troubleshoot/windows-server/active-directory/sts-recommendations-for-windows-server
MC1085490,Get started with May 2025 improvements in Windows 11,Windows,,,2025-05-30T16:59:18.317Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://techcommunity.microsoft.com/blog/windows-itpro-blog/windows-news-you-can-use-may-2025/4418936
MC1085569,Microsoft Teams: Upgrade to Meeting Recording Organizer Policy by 30 June 2025,Microsoft Teams,,,2025-05-30T19:24:17Z,Worldwide (Standard Multi-Tenant),"planForChange; Admin impact, Retirement",https://support.microsoft.com/en-us/office/meeting-options-in-microsoft-teams-53261366-dbd5-45f9-aae9-a70e6354f88e
MC1085574,(Updated) Copilot Dashboard: Updated meeting metrics for Intelligent Recap,Microsoft Viva,,,2025-05-30T19:28:48Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=494687
MC1085581,Microsoft Teams admin center: New Teams Reader role,Microsoft Teams,,,2025-05-30T19:32:56Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://learn.microsoft.com/microsoftteams/using-admin-roles
MC1086085,Take action: Out-of-band update to address install error 0xc0000098 in ACPI.sys while installing KB5058405,Windows,,,2025-05-31T21:31:08.213Z,Worldwide (Standard Multi-Tenant),preventOrFixIssue; Admin impact,https://support.microsoft.com/help/5058405
MC1087096,Microsoft 365 Copilot: GA for Image Generation in Copilot Chat,Microsoft 365 apps,,,2025-06-02T23:43:49Z,Worldwide (Standard Multi-Tenant),"planForChange; New feature, User impact, Admin impact",https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-page#copilot-image-generation
MC1087099,(Updated) Microsoft Teams: Remote log collection in Teams admin center,Microsoft Teams,,,2025-06-02T23:46:42Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=491439
MC1087565,Microsoft Teams: LEAP will transition to Microsoft Unified,Microsoft Teams,,,2025-06-03T20:02:32Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Admin impact, Retirement",https://adoption.microsoft.com/virtual-event-guidance/assistance/
MC1087633,Microsoft Viva Pulse: New question types including skip logic in surveys,Microsoft Viva,,,2025-06-03T22:52:14Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=407640
MC1087634,Microsoft Teams: Interactive agents for meetings and calls,Microsoft Teams,,,2025-06-03T22:52:51Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=490564
MC1087635,Microsoft Lists: Mobile apps for iOS and Android will retire,SharePoint Online,,,2025-06-03T22:54:13Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Admin impact, Retirement",https://support.microsoft.com/office/get-started-with-the-microsoft-lists-mobile-app-6abf88b7-4c91-4af2-87c5-8d94afe34623
MC1088170,Microsoft SharePoint: Estimated read time for News posts,SharePoint Online,,,2025-06-04T23:18:04Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=491024
MC1088172,(Updated) Microsoft Teams: New threaded conversation layout option for channels,Microsoft Teams,,,2025-06-04T23:19:18Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=488300
MC1088700,Dynamics 365 Customer Service - Information regarding the end of support for legacy Conversation Topics,Dynamics 365 Apps,,,2025-06-05T21:57:00Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Retirement",
MC1088725,Microsoft Teams: Inclusive meeting enhancements for sign language users,Microsoft Teams,,,2025-06-05T23:39:25Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=494843
MC1088729,(Updated) Microsoft Defender for Office 365: Two new data tables in Advanced hunting (preview),Microsoft Defender XDR,,,2025-06-05T23:43:06Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",
MC1088730,(Updated) Autoplay videos in Engage (Muted),Microsoft Viva,,,2025-06-05T23:43:41Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=494686
MC1088732,Microsoft Teams: Important updates for Android-based Teams devices – Authentication changes coming soon,Microsoft Teams,,,2025-06-05T23:44:48Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, Admin impact",
MC1089315,Resharing to external users required after enabling Microsoft SharePoint integration with Microsoft Entra B2B,"SharePoint Online, Microsoft OneDrive",,,2025-06-06T23:31:18Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact, Admin impact",https://learn.microsoft.com/entra/external-id/redemption-experience#invitation-redemption-flow
MC1089318,Microsoft Outlook for iOS/Android: Copilot shows users important emails in new priority view,"Exchange Online, Microsoft 365 apps",,,2025-06-06T23:32:55Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=495261
MC1089323,(Updated) Microsoft Teams: Support for making a silent test call,Microsoft Teams,,,2025-06-06T23:36:39Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=490055
MC1090688,Teams Town hall screen management privileges in Teams Rooms on Windows,Microsoft Teams,,,2025-06-09T23:12:56Z,Worldwide (Standard Multi-Tenant),"planForChange; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=490050
MC1090689,(Updated) Microsoft Teams: Enhanced peripheral data in Pro Management portal reports for BYOD spaces,Microsoft Teams,,,2025-06-09T23:13:28Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, Admin impact",https://www.microsoft.com/en-us/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=493319
MC1090695,Microsoft Purview: Upcoming Update to Audit Records for Microsoft Purview Role Group Changes,Microsoft Purview,,,2025-06-09T23:16:26Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, Admin impact",https://learn.microsoft.com/microsoft-365/compliance/audit-log-search
MC1090698,"Microsoft Teams: New audit logs for Give control, Take control, and Screensharing",Microsoft Teams,,,2025-06-09T23:18:33Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=489224
MC1090702,Update to Default blocked file types in Outlook web and new Outlook for Windows,"Microsoft 365 for the web, Microsoft 365 apps",,,2025-06-09T23:21:25Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, User impact, Admin impact",https://learn.microsoft.com/en-us/powershell/module/exchange/set-owamailboxpolicy?view=exchange-ps#-blockedfiletypes
MC1091305,(Updated) The June 2025 Windows security update is now available,Windows,,,2025-06-11T17:32:20.81Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://support.microsoft.com/help/5060842
MC1091308,Notice: The June 2025 Scan Cab for Microsoft updates is delayed,Windows,,,2025-06-10T17:21:47.797Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://techcommunity.microsoft.com/t5/windows-it-pro-blog/announcing-a-smaller-wsus-scan-cab/ba-p/2928256?msclkid=256145ccd0c011ec9266b53af8d0aca1
MC1091443,Microsoft Defender XDR: Scoped access for Defender for Identity (preview),Microsoft Defender XDR,,,2025-06-10T23:14:59Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://learn.microsoft.com/defender-for-identity/whats-new
MC1091448,(Updated) Microsoft 365 admin center: Email notifications for service health issues available in multiple languages,Microsoft 365 apps,,,2025-06-10T23:17:57Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",
MC1091459,The June 2025 Scan Cab is available,Windows,,,2025-06-11T00:05:12.05Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://learn.microsoft.com/windows/win32/wua_sdk/using-wua-to-scan-for-updates-offline
MC1092195,Prepare for Kerberos CBA changes: Enforcement begins with July updates,Windows,,,2025-06-11T17:01:02.787Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-26647
MC1092196,How to configure RBAC for Windows Autopatch,Windows,,,2025-06-11T17:01:02.787Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://techcommunity.microsoft.com/blog/windows-itpro-blog/how-to-configure-rbac-for-windows-autopatch/4422151
MC1092430,Microsoft Viva Goals: New Data export feature,Microsoft Viva,,,2025-06-11T22:53:59Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, Admin impact",
MC1092456,Microsoft Viva Engage: Manage GDPR requests through the Engage admin center,Microsoft Viva,,,2025-06-11T23:28:50Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, Admin impact",https://learn.microsoft.com/viva/engage/manage-viva-engage-users/add-block-or-remove-users#remove-users
MC1092458,Microsoft Exchange Online: New Message Trace will be GA; legacy Message Trace will retire,Exchange Online,,,2025-06-11T23:29:20Z,Worldwide (Standard Multi-Tenant),"planForChange; New feature, User impact, Admin impact, Retirement",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=495489
MC1092459,(Updated) Microsoft Viva Insights: New prompt categories in the Microsoft Copilot Dashboard,Microsoft Viva,,,2025-06-11T23:29:57Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",https://learn.microsoft.com/viva/insights/org-team-insights/copilot-dashboard
MC1093061,"Windows Office Hours: June 19, 2025",Windows,,,2025-06-12T17:01:44.85Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,"https://techcommunity.microsoft.com/t5/s/gxcuf89792/attachments/gxcuf89792/WindowsEvents/5824/1/Windows%20Office%20Hours_%20June%2019,%202025.ics"
MC1093233,Important Update: Token Protection Policy for Power Query in Excel,Microsoft 365 apps,,,2025-06-12T23:10:29Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, Admin impact",https://learn.microsoft.com/entra/identity/conditional-access/concept-token-protection#known-limitations
MC1093235,(Updated) Text Prediction turned off by default in Outlook,"Microsoft 365 for the web, Microsoft 365 apps",,,2025-06-12T23:12:05Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, User impact",
MC1093236,Microsoft Teams: An enhanced agent experience in Chats and Channels,Microsoft Teams,,,2025-06-12T23:12:36Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, User impact, Admin impact",
MC1093237,Microsoft Exchange Online: New Reject Direct Send parameter (preview),Exchange Online,,,2025-06-12T23:13:06Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact","Microsoft Exchange Online introduces a new ""Reject Direct Send"" parameter to block unwanted Direct Send traffic. Public Preview is available now, with General Availability in September 2025. Admins can enable this feature using PowerShell. Review configurations and notify users. Learn more [here](https://techcommunity.microsoft.com/blog/exchange/introducing-more-control-over-direct-send-in-exchange-online/4408790)."
MC1093912,Microsoft Outlook for iOS/Android: Improved Contacts with profile enrichment and duplicate management,"Exchange Online, Microsoft 365 apps",,,2025-06-13T17:25:44Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=493753
MC1094051,(Updated) Support Update for SharePoint Framework Field Customizers in Lists and Document Libraries,SharePoint Online,,,2025-06-13T21:53:08Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, User impact, Admin impact, Retirement",https://learn.microsoft.com/sharepoint/dev/spfx/extensions/get-started/building-simple-field-customizer
MC1096052,Windows add support for the new certificate authority handling logic in Application Control for Business,Windows,,,2025-07-02T19:36:41.207Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://support.microsoft.com/topic/windows-support-for-the-application-control-for-business-new-ca-handling-logic-0be5df55-f4d7-458a-808f-7949d6a80850
MC1096218,(Updated) Microsoft 365 Copilot: Extending Copilot Chat to Microsoft 365 apps,Microsoft 365 suite,,,2025-06-16T23:13:24Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://go.microsoft.com/fwlink/?linkid=2310640
MC1096222,Microsoft Viva Engage: Updating icons for certain activity types with a standard icon,Microsoft Viva,,,2025-06-16T23:19:51Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, User impact, Admin impact",https://techcommunity.microsoft.com/blog/viva_engage_blog/embracing-a-fully-modern-viva-engage-experience/4403008
MC1096885,Mail Bombing Detection technology in Microsoft Defender for Office 365,"Exchange Online, Microsoft Defender XDR",,,2025-06-17T16:39:00Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, Admin impact",
MC1097219,Plan for Change: Intune moving to support macOS 14 and higher later this year,Microsoft Intune,,,2025-06-17T22:17:19Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Admin impact, Retirement",
MC1097223,Plan for Change: Intune moving to support iOS/iPadOS 17 and higher later this year,Microsoft Intune,,,2025-06-17T22:18:46Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Admin impact, Retirement",https://learn.microsoft.com/intune/intune-service/fundamentals/manage-os-versions
MC1097225,Microsoft Entra ID: Upcoming changes to support passkey profiles in the authentication methods policy (preview),Microsoft Entra,,,2025-06-17T22:19:12Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, User impact, Admin impact, Retirement",https://learn.microsoft.com/entra/identity/authentication/concept-fido2-hardware-vendor#attestation-requirements
MC1097272,(Updated) Microsoft 365 Upcoming Secure by Default Settings Changes,"Microsoft Entra, SharePoint Online, Microsoft OneDrive, Microsoft 365 apps",,,2025-06-17T23:24:02Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact, Admin impact",https://learn.microsoft.com/en-us/powershell/module/microsoft.online.sharepoint.powershell/set-spotenant?view=sharepoint-ps#-legacybrowserauthprotocolsenabled
MC1098161,Microsoft 365 Copilot Chat: Now Easily Accessible from the Teams Chat List,Microsoft Teams,,,2025-06-18T23:08:23Z,Worldwide (Standard Multi-Tenant),"planForChange; New feature, User impact, Admin impact",
MC1098174,Microsoft Teams: In-app survey feedback policies will be managed by default with Microsoft 365 Cloud Policy,Microsoft Teams,,,2025-06-18T23:18:22Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, Admin impact",https://learn.microsoft.com/microsoftteams/manage-feedback-policies-in-teams
MC1098932,Microsoft Outlook for Mac desktop: Retiring the admin preference to switch to legacy Outlook,Microsoft 365 apps,,,2025-06-19T22:59:04Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Admin impact, Retirement",https://www.microsoft.com/en-us/microsoft-365/roadmap?filters=Outlook%2CMac
MC1098935,(Updated) Microsoft SharePoint: Header and Footer enhancements,SharePoint Online,,,2025-06-19T22:59:46Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=489225
MC1098943,Microsoft Defender for Office 365: AI-powered submissions response for improved result explainability,Microsoft Defender XDR,,,2025-06-19T23:22:57Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=488098
MC1099690,Changes to case creation process in Purview portal when confirming alerts from Defender XDR portal,Microsoft Purview,,,2025-06-20T22:16:27Z,Worldwide (Standard Multi-Tenant),"planForChange; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=489228
MC1099692,(Updated) Microsoft Copilot: Access SharePoint agents in the Microsoft 365 Copilot app,SharePoint Online,,,2025-06-20T22:16:55Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=482601
MC1099693,Microsoft Teams: App ratings will be visible in context,Microsoft Teams,,,2025-06-20T22:17:28Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=483506
MC1101825,The Microsoft 365 Feed widget is no longer available with the Microsoft 365 Feed app,Windows,,,2025-06-23T20:59:19.927Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://learn.microsoft.com/windows/apps/design/widgets/
MC1101903,Microsoft Teams: Speaker Coach (Preview) will retire,Microsoft Teams,,,2025-06-23T23:59:48Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Retirement",https://support.microsoft.com/office/speaker-coach-in-microsoft-teams-meetings-30f50d15-5f62-4e09-b3bf-cadeb806386a
MC1101906,"(Updated) Offline Support for Calendar - Create, Edit and Delete Event support",Exchange Online,,,2025-06-24T00:00:18Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, Admin impact",https://www.microsoft.com/en-us/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=490059
MC1102544,"The June 2025 Windows non-security preview update is now available for Windows 10, version 22H2",Windows,,,2025-06-24T17:01:10.15Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://support.microsoft.com/help/5061087
MC1102762,(Updated) Updates to user and group assignment views on the Microsoft Admin Center,Microsoft 365 suite,,,2025-06-24T23:46:35Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, Admin impact",
MC1102784,Microsoft Teams on the web: New Private Preview for Sign in with Apple and Google for consumers may affect enterprise,Microsoft Teams,,,2025-06-25T00:12:42Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, User impact, Admin impact",https://learn.microsoft.com/en-us/entra/fundamentals/how-to-customize-branding
MC1102785,Microsoft Teams: Countdown timer for Teams Meetings,Microsoft Teams,,,2025-06-25T00:13:09Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=494842
MC1102786,Improved processing visibility for Content AI models in SharePoint Online: Autofill and Document Translation,SharePoint Online,,,2025-06-25T00:13:57Z,Worldwide (Standard Multi-Tenant),"planForChange; New feature, User impact",https://www.microsoft.com/en-us/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=489453
MC1102788,Microsoft 365 Backup: Protection unit-level offboarding (preview),Microsoft 365 suite,,,2025-06-25T00:15:07Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=464994
MC1102790,Microsoft Teams: New file attachment feature in external 1:1 and group chats,Microsoft Teams,,,2025-06-25T00:15:45Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?id=492625
MC1102791,(Updated) Microsoft 365 admin center: New Multi-admin notifications for Microsoft 365 Backup,Microsoft 365 suite,,,2025-06-25T00:16:11Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=464993
MC1102792,Microsoft Viva Amplify and SharePoint News: Videos will play in Microsoft Outlook instead of web browser,Microsoft Viva,,,2025-06-25T00:16:36Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, User impact",https://learn.microsoft.com/microsoft-365-apps/outlook/message-body/embed-playback-videos-in-outlook-and-loop#limiting-who-can-use-the-feature
MC1103605,Microsoft Teams admin center: Additional monitoring scenarios in Best Practice Configurations dashboard,Microsoft Teams,,,2025-06-26T00:32:18Z,Worldwide (Standard Multi-Tenant),"stayInformed; New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=492982
MC1103608,Microsoft Entra ID: Change in guest authentication experience for B2B collaboration,Microsoft Entra,,,2025-06-26T00:34:18Z,Worldwide (Standard Multi-Tenant),"planForChange; Feature update, User impact, Admin impact",
MC1104112,(Updated) Act now: Secure Boot certificates expire in June 2026,Windows,,,2025-07-08T23:35:41.853Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://techcommunity.microsoft.com/blog/windows-itpro-blog/act-now-secure-boot-certificates-expire-in-june-2026/4426856
MC1104265,The June 2025 Windows non-security preview update is now available,Windows,,,2025-06-26T20:59:49.183Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://support.microsoft.com/help/5060829
MC1104306,(Updated) Microsoft Teams: Users can save chats and channel messages for later,Microsoft Teams,,,2025-06-26T23:14:01Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=496369
MC1104309,New Microsoft Outlook for Windows: Export from mailbox to PST,"Exchange Online, Microsoft 365 apps",,,2025-06-26T23:15:36Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?id=485737
MC1104311,Microsoft Teams: Usability and privacy improvements for live captions and transcripts in meetings,Microsoft Teams,,,2025-06-26T23:16:14Z,Worldwide (Standard Multi-Tenant),"stayInformed; Feature update, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=495454
MC1104312,Microsoft OneNote for Windows: Export to Word 97-2003 format will retire,Microsoft 365 apps,,,2025-06-26T23:16:53Z,Worldwide (Standard Multi-Tenant),"planForChange; User impact, Admin impact",
MC1104313,(Updated) Microsoft Edge: Primary work profile will open external links by default,Microsoft 365 suite,,,2025-06-26T23:17:40Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=494835
MC1104314,(Updated) New feature in Microsoft Viva Pulse to enable delegation,Microsoft Viva,,,2025-06-26T23:18:07Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=479753
MC1104315,(Updated) New Microsoft Outlook for Windows: Drag and drop files between accounts as attachments,"Exchange Online, Microsoft 365 apps",,,2025-06-26T23:18:38Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=493289
MC1104915,"Get ready for Windows 11, version 25H2",Windows,,,2025-06-27T19:00:58.673Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://www.microsoft.com/windowsinsider/for-business-getting-started
MC1105021,Intune policy to determine SMIME cert lookup priority,Microsoft Intune,,,2025-06-27T23:25:54Z,Worldwide (Standard Multi-Tenant),"planForChange; New feature, Admin impact","A new Intune policy allows admins to set the priority order for SMIME certificate lookup in Outlook mobile, enhancing control and security. Rolling out on August 29, 2025, it is off by default. Configuration details and examples are provided. More information is available [here](https://learn.microsoft.com/en-us/exchange/clients-and-mobile-in-exchange-online/outlook-for-ios-and-android/outlook-for-ios-and-android-configuration-with-microsoft-intune#smime-settings)."
MC1106737,Get started with June 2025 improvements in Windows 11,Windows,,,2025-06-30T17:00:12.79Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://techcommunity.microsoft.com/blog/windows-itpro-blog/windows-news-you-can-use-june-2025/4428003
MC1106876,(Updated) Microsoft Teams: First run experience and prompting users to release previous reservations,Microsoft Teams,,,2025-06-30T23:05:07Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact, Admin impact",https://learn.microsoft.com/en-us/microsoftteams/rooms/bookable-desks
MC1107364,Hotpatching now enabled by default for new Windows quality update policies,Windows,,,2025-07-01T16:59:27.243Z,Worldwide (Standard Multi-Tenant),stayInformed; Admin impact,https://go.microsoft.com/fwlink/?linkid=2109431
